C1242	28256910 11333047 16701302 69038 153523
C1904	20716340 11428267 9122339 66513 99221
C2408	28181306 16954977 11020359 93913 112057
C2409	33910294 19504947 14185226 100169 119952
C2882	24951901 9978009 14770335 64709 138848
C3005	26048402 13858584 11984857 75192 129769
C3140	28920488 15382584 13327089 84374 126441
C3793	30104488 19534733 10371468 100594 97693
C4244	26838556 15740353 10861209 90922 146072
C5423	25051227 14359836 10509984 74487 106920
C686	21103707 10670701 10234236 59996 138774
C921	24300251 14063988 10070203 74668 91392
P1038	23675588 8516491 14905927 57087 196083
P1082	20913182 9029503 11716825 53943 112911
P1151	20151007 8615174 11358407 56590 120836
P1152	26072318 11741821 14061572 90363 178562
P1277	23994572 12557215 11268265 71994 97098
P1283	19998609 9335517 10122743 56969 483380
P133	24781600 11506802 13061273 76999 136526
P1375	20018172 6927610 12924610 44264 121688
P153	21397669 10236884 10996917 62405 101463
P1570	22555508 7560399 14762375 70231 162503
P157	27048582 14136233 12709522 81886 120941
P1651	20517378 4949861 15323811 46178 197528
P1665	20088179 8527864 11381417 53582 125316
P1667	25967286 9675733 16055414 69663 166476
P1721	20989797 6929596 13840383 54838 164980
P1821	23404049 8232890 14932517 68602 170040
P1863	23306476 7898669 15158048 54035 195724
P2020	26300651 10931963 15166171 67306 135211
P2021	22476786 11672094 10637574 65650 101468
P2031	23160483 9976076 12986422 60752 137233
P2055	27550198 12382167 14940473 73505 154053
P2120	21252563 6771015 14270472 46439 164637
P2160	23906794 11730348 11981573 75214 119659
P2199	25914883 12618607 13094676 74982 126618
P2373	32710122 12099884 20269810 93461 246967
P2483	22384912 6902891 15277111 50939 153971
P2715	22843090 13337793 9348389 70065 86843
P2772	20602282 8195860 12247269 50062 109091
P2871	23011196 8209664 14591470 71061 139001
P2969	21439471 9229063 12051599 55281 103528
P3148	22637263 7758684 14670035 64911 143633
P3357	20113699 7040230 12879398 48202 145869
P3664	20778646 7783477 12805033 51315 138821
P4062	24484387 9090524 15166556 53980 173327
P4109	20322282 9338098 10817605 55199 111380
P4260	20866623 9977036 10718233 61757 109597
P442	25043237 11362439 13469992 63642 147164
P443	25597203 13681464 11718637 80243 116859
P4576	22676988 9364812 13141541 59981 110654
P4748	21813611 10394338 11254602 58022 106649
P4783	22598042 9093258 13313106 61506 130172
P4826	23013713 6410888 16258327 54607 289891
P4981	23601180 11835853 11586667 71179 107481
P4989	21447584 10428010 10862495 54887 102192
P5315	25603254 6117761 19059706 143550 282237
P5338	22955059 10221227 12549890 63917 120025
P842	23986996 12215674 11563667 74960 132695
PP3276	27911668 13445365 14116349 135832 214122
